Gen=81,Mean=-137.8818,StdDev=70.7998258526107,Best=-62.5
Gen=82,Mean=-115.28949999999998,StdDev=53.36157425292098,Best=-59.05
Gen=83,Mean=-118.7608,StdDev=52.42452921448128,Best=-62.51
Gen=84,Mean=-105.86459999999997,StdDev=47.52708462382266,Best=-63.51
Gen=85,Mean=-147.44650000000004,StdDev=69.67441543888258,Best=-62.27
Gen=86,Mean=-120.43069999999997,StdDev=55.62259544924167,Best=-58.0
Gen=87,Mean=-119.36529999999999,StdDev=50.595841181958825,Best=-61.45
Gen=88,Mean=-116.37759999999997,StdDev=55.21553142223663,Best=-60.93
Gen=89,Mean=-109.62339999999995,StdDev=54.942772212912594,Best=-51.05
Gen=90,Mean=-113.00130000000003,StdDev=49.32670742417337,Best=-61.28
Gen=91,Mean=-114.67919999999998,StdDev=46.71918025137,Best=-64.25
Gen=92,Mean=-92.94960000000003,StdDev=43.713322315285076,Best=-49.86
Gen=93,Mean=-103.94060000000002,StdDev=44.42239997613816,Best=-53.12
Gen=94,Mean=-118.95129999999999,StdDev=55.78103976540775,Best=-56.3
Gen=95,Mean=-123.51940000000002,StdDev=60.543181165511946,Best=-60.95
Gen=96,Mean=-116.20740000000006,StdDev=50.30130548246238,Best=-63.6
Gen=97,Mean=-109.97989999999996,StdDev=50.66027201851566,Best=-63.23
Gen=98,Mean=-107.34609999999996,StdDev=46.013477827588744,Best=-57.2
Gen=99,Mean=-105.82240000000002,StdDev=40.512762683381645,Best=-61.13
Gen=97,Mean=-105.23740000000004,StdDev=48.92559006532266,Best=-49.17
Gen=98,Mean=-83.28790000000002,StdDev=35.84875301304077,Best=-45.41
Gen=99,Mean=-107.34300000000002,StdDev=52.08538425508638,Best=-56.85
Gen=100,Mean=-84.65789999999998,StdDev=36.70266705009323,Best=-48.96
Gen=101,Mean=-104.08839999999996,StdDev=40.180705611524544,Best=-61.34
Gen=102,Mean=-116.10219999999995,StdDev=57.06069164635144,Best=-58.62
Gen=103,Mean=-107.84639999999999,StdDev=54.02473440045772,Best=-50.45
Gen=104,Mean=-83.8035,StdDev=39.432538781442915,Best=-44.85
Gen=105,Mean=-121.53009999999999,StdDev=52.02604377607431,Best=-58.82
Gen=106,Mean=-102.19890000000004,StdDev=43.773824527792875,Best=-56.04
Gen=107,Mean=-131.82200000000003,StdDev=54.38948449838443,Best=-69.57
Gen=108,Mean=-123.73130000000003,StdDev=52.8643731005107,Best=-63.44
Gen=109,Mean=-110.67200000000001,StdDev=52.46320901355539,Best=-53.89
Gen=110,Mean=-107.64450000000001,StdDev=50.35839203896407,Best=-59.33
Gen=111,Mean=-127.09829999999998,StdDev=52.503787807262064,Best=-61.05
Gen=112,Mean=-119.71999999999994,StdDev=49.375097265726986,Best=-61.11
Gen=113,Mean=-129.58079999999995,StdDev=55.736746759745486,Best=-67.11
Gen=114,Mean=-106.41790000000003,StdDev=48.8856384083301,Best=-58.94
Gen=115,Mean=-90.64740000000002,StdDev=36.86106619781908,Best=-48.92
Gen=116,Mean=-124.10270000000003,StdDev=58.200075873747785,Best=-56.03
Gen=117,Mean=-105.62950000000002,StdDev=49.03638360187259,Best=-56.22
Gen=118,Mean=-86.96899999999998,StdDev=37.01085779875953,Best=-47.68
Gen=119,Mean=-106.05250000000002,StdDev=47.714724946812815,Best=-54.81
Gen=120,Mean=-121.27760000000004,StdDev=58.50882759242402,Best=-54.76
Gen=121,Mean=-115.01679999999996,StdDev=50.32544046265267,Best=-59.74
Gen=122,Mean=-111.04949999999995,StdDev=48.060725428878,Best=-62.24
Gen=123,Mean=-124.23110000000001,StdDev=56.16698263027845,Best=-63.15
Gen=124,Mean=-115.70350000000002,StdDev=52.80056763662679,Best=-60.09
Gen=125,Mean=-111.00039999999998,StdDev=50.55930786551572,Best=-56.09
Gen=126,Mean=-110.10749999999999,StdDev=53.4041692637382,Best=-51.05
Gen=127,Mean=-83.67959999999998,StdDev=31.68734135013539,Best=-40.58
Gen=128,Mean=-98.52839999999998,StdDev=44.51252591619577,Best=-49.21
Gen=129,Mean=-79.71229999999998,StdDev=32.08401411466464,Best=-42.54
Gen=130,Mean=-138.04399999999998,StdDev=59.19059318844508,Best=-65.8
Gen=131,Mean=-129.84419999999997,StdDev=57.61339891344721,Best=-67.54
Gen=132,Mean=-119.72699999999995,StdDev=55.35545834874823,Best=-63.88
Gen=133,Mean=-121.24619999999999,StdDev=54.63464876394832,Best=-62.78
Gen=134,Mean=-113.10099999999997,StdDev=60.59369276583165,Best=-54.23
Gen=135,Mean=-124.51379999999999,StdDev=54.16361590182103,Best=-65.59
Gen=136,Mean=-105.65209999999999,StdDev=49.66666776209171,Best=-59.54
Gen=137,Mean=-112.5557,StdDev=48.7500683744136,Best=-62.62
Gen=138,Mean=-119.66339999999992,StdDev=55.525994511039606,Best=-64.1
Gen=139,Mean=-120.09380000000003,StdDev=53.31403514610388,Best=-59.61
Gen=140,Mean=-127.31009999999998,StdDev=60.36719442702303,Best=-60.86
Gen=141,Mean=-115.94610000000003,StdDev=54.20872894460817,Best=-55.65
Gen=142,Mean=-115.37570000000001,StdDev=50.62590882650899,Best=-60.66
Gen=143,Mean=-85.11540000000001,StdDev=47.84388062061856,Best=-41.62
Gen=144,Mean=-120.29630000000006,StdDev=58.27013103906665,Best=-57.75
Gen=145,Mean=-117.0803,StdDev=57.01618974387888,Best=-61.98
Gen=146,Mean=-125.46880000000006,StdDev=54.67569577572837,Best=-64.33
Gen=147,Mean=-112.10749999999999,StdDev=54.13080947805972,Best=-54.19
Gen=148,Mean=-83.4576,StdDev=36.51131592041021,Best=-48.23
Gen=149,Mean=-120.50650000000002,StdDev=55.14018896186339,Best=-55.73
Gen=150,Mean=-110.48139999999998,StdDev=50.54896111731675,Best=-57.82
Gen=151,Mean=-97.8327,StdDev=38.449963195170945,Best=-53.67
Gen=152,Mean=-121.36739999999995,StdDev=53.63162976490645,Best=-62.25
Gen=153,Mean=-114.39260000000004,StdDev=53.42069280007512,Best=-57.46
Gen=154,Mean=-122.8405,StdDev=56.70466801551702,Best=-65.86
Gen=155,Mean=-119.63469999999995,StdDev=50.49424433447837,Best=-52.27
Gen=156,Mean=-90.16490000000002,StdDev=39.59847796304802,Best=-46.85
Gen=157,Mean=-112.6995,StdDev=52.63102500189408,Best=-53.71
Gen=158,Mean=-128.00689999999997,StdDev=63.25965935246569,Best=-58.33
Gen=159,Mean=-121.39129999999996,StdDev=56.454565885409124,Best=-67.24
Gen=160,Mean=-119.89469999999994,StdDev=57.25769060056474,Best=-55.77
Gen=161,Mean=-128.17440000000002,StdDev=64.32278054188889,Best=-57.36
Gen=162,Mean=-124.35549999999998,StdDev=62.43525283643849,Best=-57.77
Gen=163,Mean=-114.53179999999996,StdDev=54.16255046395065,Best=-68.31
Gen=164,Mean=-113.24399999999993,StdDev=49.39783721986217,Best=-60.4
Gen=165,Mean=-85.5962,StdDev=32.682459172467425,Best=-46.32
Gen=166,Mean=-102.45350000000003,StdDev=43.168165153849195,Best=-60.07
Gen=167,Mean=-111.8944,StdDev=43.27815160840398,Best=-51.04
Gen=168,Mean=-118.39820000000003,StdDev=58.88255484233,Best=-59.9
Gen=169,Mean=-113.53049999999998,StdDev=50.59747919363176,Best=-59.76
Gen=170,Mean=-113.08679999999997,StdDev=48.17699290906396,Best=-61.25
Gen=171,Mean=-89.02299999999997,StdDev=38.64154941251709,Best=-46.22
Gen=172,Mean=-133.33860000000007,StdDev=60.324937778998176,Best=-67.24
Gen=173,Mean=-97.43179999999998,StdDev=42.71736563459875,Best=-59.24
Gen=174,Mean=-130.65320000000006,StdDev=63.85738973493983,Best=-67.78
Gen=175,Mean=-106.14059999999999,StdDev=53.11452791506293,Best=-60.46
Gen=176,Mean=-113.42210000000004,StdDev=56.93761488322108,Best=-59.89
Gen=177,Mean=-116.76610000000001,StdDev=53.53750888666749,Best=-57.4
Gen=178,Mean=-114.29700000000003,StdDev=50.90162153605717,Best=-61.6
Gen=179,Mean=-81.56609999999999,StdDev=33.6272662253416,Best=-44.0
Gen=180,Mean=-118.14059999999998,StdDev=55.85706766059242,Best=-54.64
Gen=181,Mean=-126.85520000000001,StdDev=55.206432206401445,Best=-66.48
Gen=182,Mean=-113.87120000000003,StdDev=50.7467749572325,Best=-61.21
Gen=183,Mean=-119.42390000000002,StdDev=58.43387498523438,Best=-51.64
Gen=184,Mean=-110.51990000000002,StdDev=46.60627160576139,Best=-64.16
Gen=185,Mean=-107.6221,StdDev=54.23323638314424,Best=-57.5
Gen=186,Mean=-106.47820000000002,StdDev=47.73983934577075,Best=-54.94
Gen=187,Mean=-83.05229999999996,StdDev=35.25176454746627,Best=-42.58
Gen=188,Mean=-112.51929999999999,StdDev=50.66296318327621,Best=-58.29
Gen=189,Mean=-96.95239999999995,StdDev=45.999164842853396,Best=-52.52
Gen=190,Mean=-113.81070000000001,StdDev=49.22188367494686,Best=-60.29
Gen=191,Mean=-89.6169,StdDev=41.76421072389613,Best=-50.01
Gen=192,Mean=-116.74879999999996,StdDev=56.036431672261216,Best=-54.78
Gen=193,Mean=-130.85689999999997,StdDev=69.13036708560138,Best=-63.13
Gen=194,Mean=-106.08639999999993,StdDev=46.30145979383372,Best=-63.75
Gen=193,Mean=-110.17600000000004,StdDev=44.13064053466708,Best=-53.92
Gen=194,Mean=-106.53930000000003,StdDev=38.848615451647696,Best=-61.38
Gen=195,Mean=-116.04539999999997,StdDev=50.65185847370262,Best=-63.34
Gen=196,Mean=-111.39409999999998,StdDev=46.7400425779652,Best=-65.78
Gen=197,Mean=-111.27229999999996,StdDev=44.502045253111675,Best=-63.48
Gen=198,Mean=-112.05969999999999,StdDev=55.72877010046068,Best=-60.92
Gen=199,Mean=-111.45020000000001,StdDev=52.51059721580018,Best=-64.82
Gen=200,Mean=-108.88850000000004,StdDev=51.267247075984095,Best=-58.12
Gen=201,Mean=-105.67690000000002,StdDev=50.80157323735162,Best=-63.22
Gen=202,Mean=-107.70920000000004,StdDev=50.28564080689438,Best=-58.39
Gen=203,Mean=-102.36769999999996,StdDev=40.634678806531745,Best=-58.95
