Gen=71,Mean=-151.88263672375726,StdDev=63.02236953526241,Best=-75.97670695680354
Gen=72,Mean=-187.21893579287087,StdDev=73.7894184865613,Best=-81.22505771004414
Gen=73,Mean=-145.13096525032796,StdDev=51.01064815808654,Best=-66.53337508348723
Gen=74,Mean=-145.8810620225193,StdDev=62.634426980550074,Best=-73.64054589694457
Gen=75,Mean=-157.9432842080923,StdDev=69.61085959505007,Best=-78.79130662706388
Gen=76,Mean=-165.41149437778157,StdDev=70.47703475394765,Best=-66.63227446215535
Gen=77,Mean=-147.51235497552165,StdDev=60.966017826127434,Best=-71.62450697910597
Gen=78,Mean=-120.36491604759773,StdDev=59.79140895525675,Best=-47.075152681643
Gen=79,Mean=-177.1180026287037,StdDev=83.39357975778789,Best=-75.56235835387882
Gen=80,Mean=-123.83268630723529,StdDev=46.24817944453443,Best=-63.75939146510105
Gen=81,Mean=-170.10837681677614,StdDev=68.2299086673994,Best=-79.60401999899251
Gen=82,Mean=-161.98761733866365,StdDev=72.66836126501475,Best=-73.64658851569433
Gen=83,Mean=-131.02917247469685,StdDev=59.57937865231667,Best=-61.511950058504894
Gen=84,Mean=-179.92627602915877,StdDev=80.19963400339802,Best=-79.54476726975822
Gen=85,Mean=-108.57903770327326,StdDev=40.374996859828585,Best=-56.998333308966146
Gen=86,Mean=-144.91741751355676,StdDev=62.37305027976004,Best=-65.28008884797875
Gen=87,Mean=-161.68816458211887,StdDev=68.4428304065928,Best=-79.62531004649212
Gen=88,Mean=-115.49720479367778,StdDev=45.929393473539925,Best=-60.25844339177706
Gen=89,Mean=-171.79989791996297,StdDev=66.54056112395135,Best=-81.44906383746839
Gen=90,Mean=-155.65984263963216,StdDev=66.40158725064447,Best=-77.49851611482636
Gen=91,Mean=-179.79541100869577,StdDev=78.02905023268043,Best=-82.39908980079817
Gen=92,Mean=-180.0379328868192,StdDev=80.51997591803648,Best=-84.82358162680941
Gen=93,Mean=-180.82480496643464,StdDev=73.66431706634388,Best=-78.80380701463604
Gen=94,Mean=-162.36929043283234,StdDev=73.45596112187586,Best=-73.02533806837185
Gen=95,Mean=-136.69960226629004,StdDev=58.16960581126629,Best=-69.53696858506272
Gen=96,Mean=-115.75844254815837,StdDev=54.164460477555934,Best=-61.023274248437374
Gen=97,Mean=-182.0770138793605,StdDev=82.2727793184062,Best=-71.61354620461131
Gen=98,Mean=-115.81875392732123,StdDev=49.017234099065746,Best=-58.182041902978966
Gen=99,Mean=-167.3906061672711,StdDev=72.52750765711964,Best=-80.55625363682202
Gen=100,Mean=-154.2518163138123,StdDev=59.320494467678735,Best=-77.19520710510466
Gen=101,Mean=-140.02808577036078,StdDev=65.89716985947489,Best=-65.88968052737849
Gen=102,Mean=-168.70730752316788,StdDev=81.13350656962426,Best=-71.72872506883138
Gen=103,Mean=-144.54747677176016,StdDev=57.914781868858576,Best=-70.00685680702998
Gen=104,Mean=-146.79938639653935,StdDev=57.33869856911255,Best=-79.66015315074407
Gen=105,Mean=-161.32107164014258,StdDev=70.14521255849169,Best=-79.50408794521198
Gen=106,Mean=-171.58457430851203,StdDev=71.95495854607049,Best=-61.795064527840736
Gen=107,Mean=-137.36581337314942,StdDev=64.10822190899613,Best=-62.53103229597286
Gen=108,Mean=-148.66409353364,StdDev=69.10467924693037,Best=-66.89693565478167
Gen=109,Mean=-169.37844607296498,StdDev=73.58207530307712,Best=-79.39496205679552
Gen=110,Mean=-152.49945406520953,StdDev=64.04980960013107,Best=-74.65761849938693
Gen=111,Mean=-158.32574590828995,StdDev=62.753399769124805,Best=-74.78342062248825
Gen=112,Mean=-162.88211362441385,StdDev=66.99365090248139,Best=-77.06101478698551
Gen=113,Mean=-169.26220046488876,StdDev=72.23409439997035,Best=-68.37046145814726
Gen=114,Mean=-158.04979852046299,StdDev=70.44881537429184,Best=-76.0994086705015
Gen=115,Mean=-120.61252752892085,StdDev=42.83425268503357,Best=-59.83034347218809
Gen=116,Mean=-108.44855519295906,StdDev=44.99766745687729,Best=-55.75688298317975
Gen=117,Mean=-139.48664720637132,StdDev=55.728437544267365,Best=-76.07759197030359
Gen=118,Mean=-143.3384964777094,StdDev=57.505399985650755,Best=-73.36661366043822
